Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Sub category;Бренд
"MAHA NARAYANATAILAM, Kottakkal (Аюрведическое масло МАХА НАРАЯНАТАЙЛАМ, Коттаккал), 200 мл.
";"Массажное масло Маха Нараяна Тайлам - это одно из самых сильнодействующих масел в медицине Аюрведы для лечения признаков неврологических заболеваний. Отлично подходит для релаксации и восстановления сил. Возвращает здоровый сон, уравновешивает нервную систему, поддерживает активное состояние пожилых людей. Масло подходит как для местного, так и общего массажа тела за исключением головы.

Таким образом, Маха Нараяна Тайлам представляет собой классическую многокомпонентную аюрведическую формулу (около 30 ингредиентов), которая используется в Индии на протяжении многих столетий. Считается, что масло способствует укреплению защитной энергетической оболочки человека – его ауры.

Масло способствует облегчению болезненных ощущений неврологического происхождения при таких заболеваниях как хронический и острый ревматизм, радикулит, гемиплегия, артрит и артроз, полиомиелит, параплегия, плечевой паралич и паралич лицевого нерва, контрактура, ишиас, частые головные боли и др. Улучшает подвижность суставов, снимает судороги, онемении рук и ног, мышечные спазмы.

Данное мало используется во множестве аюрведических ритуалов красоты и здоровья. Магия его воздействия распространяется на все три доши. Способствует укреплению иммунитета, глубоко приникает под кожу и выводит токсины, помогает детям заснуть.

Оно особенно рекомендуется для общего и локального применения при мышечной слабости, дистрофии, сниженном мышечном тонусе, болях в мышцах, суставах и сухожилиях, так как способствует эффективному выведению скопившейся в них Амы. Оказывает согревающее воздействие, восстанавливает лёгкость и подвижность суставов, поддерживая их в функциональном состоянии. Продукт также полезен при мигрени, для закапывания в глаза и уши. Способствует уравновешиванию Вата доши, так как именно она отвечает за проявление боли в теле при смешивании её с другими дошами.

Применяется для повышения мужской потенции и женской способности к зачатию, повышает силу полового влечения и способность к оплодотворению, укрепляет половые органы, стимулирует кровообращение, действуя как лимфодренажное средство, снимает напряжение и повышает чувствительность тела.

Никаких известных побочных эффектов, связанных с применением продукта не отмечалось.

НАЗНАЧЕНИЕ

Общий массаж и самомассаж для повышения возможности зачатия у женщин, повышение потенции у мужчин, укрепление половых органов, мышечные и суставные боли, артрит, растяжения и ушибы, снижение слуха, ригидность шейных мышц и позвоночника, паралич, параплегия, треморы, онемение рук и ног, релаксация, нормализация сна, заболевания языка, дёсен и зубов.";983;;https://india-bazar.ru/images/stories/virtuemart/product/maha-narayanatailam-kottakkal-ayurvedicheskoe-maslo-makha-narayanatajlam-kottakkal-200-ml.jpg;;;Здоровье;Уход за телом;Kottakkal
"MAHANARAYAN TEL kesar yukt Baidyanath (Маханараян, эффективное средство для лечения суставной боли, Бадьянатх), 100 мл.
";"Лечебное масло Mahanarayan Tel индийской фирмы Baidyanath - мощное обезболивающее и противовоспалительное аюрведическое средство для лечения хронических и острых воспалений в суставах и позвоночнике, а также быстро облегчит боль в мышцах и при растяжении связок и сухожилий.
В состав лечебного масла для суставов входят только растительные компоненты обеспечивающие быстрое устранение симптомов воспаления суставов (отеков и воспалений в околосуставных тканях) и утренней скованности. Содержит шафран.

Масло Маханараян Эффективное обезболивающее и противовоспалительное средство используемое для наружного применения. Быстро облегчает боль от травм, вывихов, растяжений, миозита, тендонита, капсулита и других болезней опорно-двигательного аппарата. Эффективно помогает при боли в пояснице, шейном отделе, в плечевых, локтевых и коленных суставах.

Масло легко впитывается в кожу и проникает глубоко в ткани, что обеспечивает быстрый эффект от действия компонентов входяцих в его состав.

В Аюрведе главной причиной болезней суставов считается Ама (токсины) накапливающиеся в организме. Масло Маханараян борется с негативным влиянием токсинов возвращая здоровье и подвижность суставам.
Масло Маханараяна используется для массажа и аппликаций, так как он хорошо разогревает мышцы, успокаивает раздражение в нервных окончаниях, имеет отвлекающие действие.";665;740;https://india-bazar.ru/images/stories/virtuemart/product/mahanarayan-tel-kesar-yukt-baidyanath-makhanarayan-effektivnoe-sredstvo-dlya-lecheniya-sustavnoj-boli-badyanatkh-100-ml.jpg;;;Здоровье;Уход за телом;Baidyanath
"MURIVENNA, Kottakkal (МУРИВЕННА, Аюрведическое массажное масло для суставов и костей, Коттаккал), 200 мл.
";"Муривенна - масло, благотворно воздействующее на кожу, нервную систему и суставы.

Индия славится своими лечебными маслами, которые могут творить настоящие чудеса только лишь при наружном использовании. Представленный продукт относится именно к таким укрепляющим здоровье маслам. Однако, оно является не только прекрасным расслабляющим массажным средством снимающим стресс и усталость, оно также устраняет блоки и зажимы в мышцах, укрепляет суставы и снимает боль в теле.

Масло Муривенна способствует заживлению ушибов, вывихов и растяжении связок при спортивных травмах или просто активном отдыхе. Оно помогает костям срастаться быстрее, снимает боль в суставах, а также мышечную боль после активной физической работы или занятий спортом. Также оно действует как антисептик, способствует скорейшему заживлению ран.

Оно окажется очень полезным для людей в пожилом возрасте, так как с ним движения становятся легче, а тело гибче. И, конечно, Муривенна имеет выраженный косметический эффект – благодаря действию активных компонентам в его составе кожа становится более мягкой и свежей.

НАЗНАЧЕНИЕ

Свежие и долго не заживающие раны, боль и воспаление во время переломов и растяжений связок, боли при артрите. ";745;828;https://india-bazar.ru/images/stories/virtuemart/product/murivenna-kottakkal-ayurvedicheskoe-massazhnoe-maslo-dlya-sustavov-i-kostej-murivenna-kottakkal-200-ml.jpg;;;Здоровье;Уход за телом;Kottakkal
"KARPURADI TAILAM, Kottakkal (КАРПУРАДИ ТАЙЛАМ, при растяжении или повреждении связок, Коттаккал), 200 мл.
";"асло расслабляет мышцы, снимает усталость и болезненные ощущения.

Масло для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении, для восстановления после спортивных травм и тяжёлых физических нагрузок.

Масло расслабляет мышцы, снимает усталость и болезненные ощущения. Обладает антисептическим и разогревающим действием, восстанавливает кровообращение, выводит токсины, помогает при простудных заболеваниях. Эффективно для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении.

Аюрведическое массажное масло Карпуради - формула, созданная врачами Аюрведы в древности и используемая неизменно до сих пор. Это эффективное средство для массажа при растяжении или повреждении связок, мышечных судорогах и спазмах, мышечной усталости и онемении. Дает облегчение при ревматических заболеваниях, отеках и опухолях в суставах, боли в груди, полезно в освобождении от затруднений дыхания, при невралгии, болях в шее.

Масло Карпуради также рекомендуется спортсменам после тяжёлых физических нагрузок. Очень эффективно действуют припарки из масла Карпуради на места повреждения. Средство подходит для проведения лёгкого аюрведического массажа ""абхьянга"".

Масло Карпуради обладает антисептическим и разогревающим действием. Восстанавливает кровообращение, выводит токсины. Расслабляет мышцы, снимает усталость и болезненные ощущения.

Эффективно помогает при простудных заболеваниях. Для массажа масло Карпуради можно применяеть в чистом виде и в комплексе с другими маслами (25% Карпуради и 75% любое другое массажное масло).";683;750;https://india-bazar.ru/images/stories/virtuemart/product/karpuradi-tailam-kottakkal-karpuradi-tajlam-kottakkal-200-ml.jpg;;;Здоровье;Уход за телом;Kottakkal
"VARANADI KASHAYAM, Kottakkal Ayurveda (Аюрведический тоник ВАРАНАДИ КАШАЯМ, Коттаккал Аюрведа), 200 мл.
";"Varanadi Kashayam – аюрведический отвар для снижения веса, очищения организма и улучшения работы пищеварительного тракта. Помогает бороться с ожирением и нарушением обменных процессов, плюс ко всему решает проблемы расстройства желудка. Варанади Кашаям оказывает широкий спектр действия на организм, воздействуя сразу на многие органы и системы, в том числе опорно-двигательный аппарат, решая проблему хронического артрита. Применение средства способствует качественному, безболезненному снижению веса и оздоравливает желудочно-кишечный тракт, борется с некоторыми кожными заболеваниями и расстройствами сердечно-сосудистой системы. Варанади Кашаям избавляет от боли в горле, проблем слимфатическими узлами, выводит паразитов из организма, нормализует уровень сахара в крови, укрепляет кости, снимает ощущение тяжести в голове, избавляет от сонливости. Varanadi Kashayam подходит для детей и взрослых.

";540;600;https://india-bazar.ru/images/stories/virtuemart/product/varanadi-kashayam-kottakkal-ayurveda-ayurvedicheskij-tonik-varanadi-kashayam-kottakkal-ayurveda-200-ml.jpg;;;Здоровье;Уход за телом;Kottakkal
"SUKUMARAM KASHAYAM, Kottakkal Ayurveda (Аюрведический тоник СУКУМАРАМ КАШАЯМ, Коттаккал Аюрведа), 200 мл.
";"Сукумара Кашаям (Sukumaram Kashayam) – это аюрведическое средство в виде отвара для устранения заболеваний женской репродуктивной системы. Очищает организм от шлаков и токсинов, насыщает витаминами, восстанавливает после родов, устраняет болезненные ощущения во время менструации, нормализует гормональный фон, помогает при бесплодии. Сукумара Кашаям также способствует восстановлению нормальной работы пищеварительной системы.

Показания к применению:

заболевания женской репродуктивной системы
очищение от шлаков и токсинов
дефицит витаминов
восстановление после родов
менструальные боли
гормональный дисбаланс
бесплодие
проблемы ЖКТ";621;690;https://india-bazar.ru/images/stories/virtuemart/product/sukumaram-kashayam-kottakkal-ayurveda-ayurvedicheskij-tonik-sukumaram-kashayam-kottakkal-ayurveda-200-ml.jpg;;;Здоровье;Уход за телом;Kottakkal
"DRISHTI Eye Drop Patanjali (ДРИШТИ, глазные капли, Патанджали), 10 мл. 
";"Дришти (Drishti) – аюрведические глазные капли на основе натуральных компонентов. Помогают при различных болезнях глаз – конъюнктивите, повышенном внутриглазном давлении, переутомлении, катаракте. Средство восстанавливает остроту зрения, снимает покраснения и даже позволяет снять очки. Капли полезны для каждого, кто проводит много времени за компьютером и у кого слабое зрение. Благодаря своему мощному, но в то же время натуральному составу, подходят даже для детей.

Длительное использование данных капель поможет повысить зрение и даже снять очки. Средство оказывает общее тонизирующее воздействие на ткани глаз, способствует снижению неприятных симптомов, связанных с побочным негативным влиянием запылённого воздуха или ветра. Рекомендуется для ежедневного использования.

Продукт не имеет побочных эффектов.";49;160;https://india-bazar.ru/images/stories/virtuemart/product/drishti-eye-drop-patanjali-drishti-glaznye-kapli-patandzhali-10-ml.png;;;Здоровье;Уход за глазами;Patanjali
"DRISHTI tab. Shri Ganga (ДРИШТИ, лечение болезней глаз, Шри Ганга), 120 таб.
";"Дришти от Шри Ганга - эффективный и безопасный препарат для восстановления и поддержания здоровья глаз. Таблетки Дришти от компании Шри Ганга помогут Вам привести в порядок зрение и избавиться от множества неприятных симптомов, среди которых синдром сухого глаза, конъюнктивит, боль в глазах, слабость мышц глаза и др.

Особенностью этого препарата является то, что он состоит только из натуральных ингредиентов. Однако это вовсе не означает, что средство является более слабым, чем химические препараты! Напротив, оно сильнее, чем многие из них, но при этом является гораздо более безопасным, не вызывающим побочных эффектов или привыкания. Ведь природа уже дала нам все необходимое, чтобы сохранить свое здоровье.

НАЗНАЧЕНИЕ

Катаракта, коньюктивит, блефарит, глаукома с прогрессирующим увеличением глазного давления, появление плавающих точек перед глазами и другие заболевания глаз.

АКТИВНЫЕ ИНГРЕДИЕНТЫ

Трифала (Triphala). Лечебный состав из трех лечебных трав (амалаки, харитаки, бибхитаки), очищающий и омолаживающий организм, обладает легким слабительным воздействием. Относится к Расаянам - средствам для омолаживания всех тканей организма. Выводит токсины и шлаки. Богат витаминами и минералами, в особенности витамином C. Способствует улучшению зрения.

Яштимадху (Glycyrrhiza glabra). Обладает антиаллергическими свойствами, афродизиак, умиротворяет все доши. Применяется как противовоспалительное и успокоительное средство. Очищает кровь, борется с кожными болезнями, питает нервную систему, снимает головную боль, оздоравливает сосуды, нейтрализует воспалительные процессы в тканях.

Железо очищенное (Loha bhasma). Специальным образом измельченное и при помощи трав обработанное железо. Благодаря этому оно приобретает целебные свойства и легко усваивается организмом, в отличие от современных минеральных добавок. Помогает при анемии, стабилизирует состояние щитовидной железы, хорошо влияет на состояние кожи, волос, ногтей, костей, восстанавливает иммунитет.

Правала бхасма (Corallum). Измельченный порошок коралла. Очень богат кальцием. В Аюрведе используется для лечения болезней, связанных с дефицитом кальция, в том числе суставов и костей, таких как остеопороз и другие.

Суварна макшик бхасма (CuFeS2). Аюрведическое средство, специальным образом приготовленное из руды железного и медного пирита. Лечит диабет, геморрой, кожные заболевания.";684;760;https://india-bazar.ru/images/stories/virtuemart/product/drishti-tab-shri-ganga-drishti-lechenie-boleznej-glaz-shri-ganga-120-tab.jpg;;;Здоровье;Бад;Shri Ganga
"GARAM MASALA Spices blend for vegetables, Everest (ГАРАМ МАСАЛА смесь специй для овощей, Эверест), 100 г.
";"«Гарам Масала» в переводе с хинди означает «горячая смесь специй». Это традиционная приправа восточной кухни, травы и специи в составе которой, ароматные и острые, действительно согревают, усиливая циркуляцию крови, они незаменимы для тех, кто любит «погорячее», и в холодное время года – для людей, часто болеющих простудами.

Гарам Масала представляет собой порошок разных оттенков коричневого цвета с остро-сладким вкусом и ореховым ароматом. Каждую из специй прожаривают отдельно на сухой сковородке до потемнения, затем их смешивают, измельчают и хранят в стеклянной банке с плотной крышкой. Качественная Гарам Масала долго не теряет ценных пряных свойств.

Хорошо подходит для приготовления супов и вторых блюд из бобовых (чечевицы, фасоли, гороха), жареных закусок, соусов, овощных салатов, рагу, к блюдам из курицы, риса, а также удивительным образом к блюдам из фруктов. Гарам Масалу добавляют в сладкую выпечку: овсяное и гречишное печенье, пироги с ягодной, яблочной, грушевой или тыквенной начинкой, пудинги, кексы, а также в кляр (жидкое тесто), в котором обжаривают кусочки овощей или фруктов. Приправой ароматизируют травяные чаи, соки, фруктовые напитки (особенно яблочные и грушевые).

Состав: coriander, chili, cumin, cassia leaf, black pepper, cassia bark (taj), clove, black cardamom, star anise, fennel, dried ginger, iodized salt, caraway.

Страна производства: Индия";322;358;https://india-bazar.ru/images/stories/virtuemart/product/garam-masala-spices-blend-for-vegetables-everest-garam-masala-smes-spetsij-dlya-ovoshchej-everest-100-g.jpg;;;Продукты питания;Приправа;Everest
"TEA MASALA Everest (Смесь специй для Масала чая, Эверест), 50 г.
";"В Индии считается традиционным лечебным и вкуснейшим напитком. Называется ""Масала-чай"".

Масала чай Everest представляет собой сухие специи, предназначенные для приготовления в домашних условиях согревающего чая, обладающего своеобразным пряным ароматом. Напиток готовится на основе индийского черного чая. Остальные компоненты подобраны в упаковке в оригинальных соотношениях.

Состав: чёрный перец, имбирь, корица, кардамон, листья корицы, мускатный орех, гвоздика, чёрный кардамон.

Как приготовить масала чай?

В кипящую воду добавить половину чайной ложки специй Tea Masala, черный чай, молоко и сахар по вкусу. Кипятить на маленьком огне в течении нескольких минут, затем дать настояться.

Страна производства: Индия";216;240;https://india-bazar.ru/images/stories/virtuemart/product/Everest-Tea-Masala-indian-bazar.jpg;;;Продукты питания;Приправа;Everest
"ЛУМБАТОН АВН АЮРВЕДА (LUMBATONE AVN AYURVEDA), 100 ТАБ.
";"Лумбатон (Lumbaton) используются для лечения общих проблем поясничного отдела позвоночника. Капсулы состоят из высококачественных натуральных ингредиентов, а при производстве используются новейшее оборудование, которое соответствует всем медицинским стандартам. Препарат рекомендуют при проблемах с поясницей, позвоночника в целом и при растяжении связок. Лумбатон просто необходим при реабилитации после серьезных переломов, ушибов и других травм. Можно применять в профилактических целях, чтобы укрепить кости, суставы и избежать проблем этого характера в будущем.

Активнодействующие компоненты:

Расна (Alpinia galanga) — антиоксидант, афродизиак, ускоряет обменные процессы в организме, способствует снижению веса, обладает сильным противовоспалительным действием, антисептическими и антигрибковыми свойствами, лечит ревматизм, является тоником и стимулятором для всего организма.

Ветивер (Vetiveria zizanioides) — ценится своими мощными целебными свойствами и применяется в различных настойках, отварах, кремах в качестве седативного, спазмолитического, антисептического, омолаживающего, слабительного и восстанавливающего костную ткань средства.

Кардамон (Elettaria cardamomum) — его плоды идут в ход как средство для желудка, от насморка, кашля, ревматизма. Также кардамон имеет свойства помогать при болях в спине и проблемах с костями.";1430;;https://ayurveda-world.ru/wp-content/uploads/2021/06/Lumbaton-ot-bolej-v-spine-Lumbaton-AVN-Ayurveda-90-kaps..jpg;;;Здоровье;Бад;Lumbaton
"LIP BALM Himalaya (ЛИП БАЛМ Бальзам для губ, Хималая), 10 г.
";"Питательный бальзам для губ ""Himalaya"" с натуральными маслами семян моркови и зародышей пшеницы. Смягчает и увлажняет кожу губ, делая их мягкими и гладкими. Бальзам для губ ""Хималая"" обеспечивает надежную защиту от ветра, мороза и ультрафиолета.

Cухость и шелушение

НАЗНАЧЕНИЕ

Увлажнение и смягчение, защита.

АКТИВНЫЕ КОМПОНЕНТЫ

Кокос (Coconut, лат. Cocos nucifera, Sanskrit/Indian name: Narikela) - Научное название рода происходит от португальского слова coco («обезьяна») и дано из-за пятен на орехе, которые делают его похожим на морду обезьяны. Видовое название nucífera — от латинских слова nux («орех») и ferre («нести»). Кокосовая вода помогает при лечении почек и расстройств мочевого пузыря. Кокосовое молоко употребляют внутрь для укрепления иммунной системы и снижения веса.Натуральное кокосовое масло очень полезно для организма, в основном его применяют для лечения и укрепления волос. Эфирное масло, получаемое из плодов полезно в исцелении поверхностных ран и порезов. Основной активный компонент кокосового ореха - Октановой кислота. Она обладает противогрибковыми свойствами, содержит витамины Е и К, минералы (железо), полифенолы (галловая кислота), которые придают фруктам свой ​​аромат и вкус.
Лауриновая кислота 39—54 %, миристиновая кислота 15—23%, пальмитиновая кислота ~ 10 %, олеиновая кислота ~9 %, каприловая кислота ~6 %, каприновая кислота 5—10 %, стеариновая кислота ~5 %, линолевая кислота ~3 %, капроновая кислота ~1 %.

Масло зародышей пшеницы (Bread Wheat, лат. Triticum sativum, Sanskrit/Indian name: Godhuma, Kumari) - Зародыши пшеницы содержат значительное количество питательных и биологически активных веществ. Экстракт зародышей пшеницы — это иммуномодулятор, который способен увеличить сопротивляемость организма действию негативных внешних факторов.
В медицине и косметологии экстракт зародышей пшеницы предлагается как средство, обладающее противоожоговым эффектом, ускоряющее заживление ран, язв и ожогов. Это обусловлено влиянием на фибробласты, которые играют основную роль в заживлении ран и активации грануляционного процесса. Так же используют масло зародешей пшеницы в качестве омолаживающего средства. Благодаря содержанию селена и каротиноидов, которые обладают антиоксидантными свойствами, зародыши пшеницы препятствуют действию свободных радикалов, укрепляет стенки сосудов, предупреждает старение и появление опухолей.

Масло семян моркови, кокосовое масло, касторовое масло, райтия красильная, масло ростков пшеницы.

Листья райтии обладают противовоспалительной активностью.
Масло кокоса смягчают кожу губ.
Масло клещевины применяется наружно при воспалениях кожи и слизистой.
Масло пшеницы питает кожу и защищает ее от высушивания.
Масло семян моркови оказывает солнцезащитное действие.";108;120;https://india-bazar.ru/images/stories/virtuemart/product/figo21ItpR0.jpg;;;Красота;Уход за губами;Himalaya
"TAJ MAHAL Brooke Bond (ТАДЖ МАХАЛ, индийский черный чай, Брук Бонд), 250 г.
";"а протяжении уже многих лет чай Тадж Махал фирмы Брук Бонд остается одним из символов всего наилучшего из Индии. Начиная с 1869 года специалисты и дегустаторы чая Brooke Bond тщательно выбирают самые нежные листья из лучших чайных садов для создания крепкого, насыщенного напитка с нежным ароматом, который заставляет людей говорить...""Вау Тадж"". Этот эксклюзивный напиток создан, что бы улучшить ваши чувства и украсить те драгоценные минуты, которые вы проводите за чашечкой чая в кругу своих друзей. Купить черный индийский чай Taj Mahal Brooke Bond можно у нас.

Сорта чая Брук Бонд являются богатым, природным источником антиоксидантов, называемые флавоноидами, которые защищают клетки и ткани вашего организма.

Международные диетические руководящие принципы (были введены в Нидерландах в 2006 году в ответ на призыв Всемирной организации здравоохранения для пищевой промышленности) рекомендуют этот продукт в соответствии с тем, что он имеет ограниченное количество жиров, сахара и соли (натрия).

Способ приготовления: 2 г. чая залить кипяченой водой или молоком, можно добавить сахара

Состав: черный чай.

Производитель: Brooke Bond, Индия";540;600;https://india-bazar.ru/images/stories/virtuemart/product/taj-mahal-brooke-bond-tadzh-makhal-indijskij-chernyj-chaj-bruk-bond-100-g1.jpg;;;Продукты питания;Чай;Brooke Bond
"KAVERI Mehendi Cone, Velnik (Хна для мехенди в конусах КАВЕРИ, Велник), 1 шт., 25 г.
";"Хна для мехенди в конусах натуральная Кавери окрашивает кожу в яркий насыщенный коричневый цвет. Рисунок держится на теле от 1 до 2 недель в зависимости от места нанесения и ухода за ним. В коробке 12 конусов. Продукт полностью готов к применению.

Откуда именно вышли истоки обычая росписи по телу доподлинно неизвестно. Но то, что он насчитывает несколько тысячелетий - факт. Ещё с древних времён роспись тела была признана настоящим искусством и широко использовалась по случаю торжеств и в повседневной жизни. Не так давно популярность росписи по телу достигла стран Европы и Россию. Часто можно увидеть витрины салонов красоты, предлагающие эту экзотическую услугу с многочисленными заманчивыми примерами причудливых рисунков на разных частях тела.

У Вас есть возможность приобрести высококачественный продукт для создания эффектных рисунков с использованием трафарета или собственных творческих способностей.

НАЗНАЧЕНИЕ

Создание рисунка на теле.

ИНСТРУКЦИЯ ПО ПРИМЕНЕНИЮ

Участок кожи, на которых предполагается наносить рисунок, необходимо тщательно очистить с помощью воды и мыла. Открутите колпачок с тюбика и снимите защитную пленку. Закрутите колпачок обратно и отрежьте край тонкого кончика. Нанесите желаемый рисунок на кожу. Оставьте пасту сохнуть на коже как минимум на 30 минут. После того, как паста высохнет, ее можно будет снять тонкой пленочкой, при этом сам рисунок останется на коже.";62;69;https://india-bazar.ru/images/stories/virtuemart/product/kaveri-mehendi-cone-velnik-khna-dlya-mekhendi-v-konusakh-kaveri-velnik-1-sht-25-g1.jpg;https://india-bazar.ru/images/stories/virtuemart/product/kaveri-mehendi-cone-velnik-khna-dlya-mekhendi-v-konusakh-kaveri-velnik-1-sht-25-g.jpg;;Красота;Мехеди для рук;Velnik
Элади чурна Eladi Churnam Kottakkal 10 гр;"Улучшает пищеварение, приводя в гармонию весь процесс. Убивает вредные бактерии и сохраняет микрофлору и усиливает работу полезных бактерий. Снимает рвоту, боли в животе, лечит анорексию. Убирает налет на языке и освежает рот, удаляет неприятный запах. Состав: Ela (Cardamom), Cinnamon, Nagakesara, Pepper, Long pepper, Ginger, – all in the gradually increasing proportion.

Применение
1/4 или 1/2 ч.л. с медом или молоком два раза, как пропишет аюрведический врач.";70;;https://lotos-herbals.ru/photoz/81466446/eladi_churnam_kottakkal_10_gr.jpg;;;Здоровье;Бад;Kottakkal
"Авипати Чурна Коттакал, Avipathi Churna Kottakkal, 10гр
";"Традиционно в Аюрведе Авипаттикар чурна / Avipattikar churna используется для лечения проблем с пищеварением, помогает поддерживать уровень холестерина и кровяного давления под контролем, защищает от диабета, облегчает тошноту. Это отличное средство при повышенной кислотности, головной боли, рвоте, метеоризме.

Показания к применению:
Авипаттикар чурна / Avipattikar churna является известным растительным средством, используемым в Аюрведе.

Это микронизированный порошок, созданный из ряда диких трав высокого качества из их естественной среды обитания, которые, в свою очередь, являются более мощными и эффективными, чем культивируемые травы.

Авипаттикар чурна / Avipattikar churna известна в Аюрведе как кардиотоник, желудочно-кишечный тоник, афродизиак, жаропонижающее, ветрогонное.

Авипаттикар чурна / Avipattikar churna повышает общий уровень белка и увеличивает массу тела за счет положительного баланса азота. Было установлено, что порошок обладает анаболическим эффектом.

Этот травяной препарат обладает антиоксидантными свойствами из-за витамина С, который содержится в большом количестве во входящей в его состав амле, чтопредотвращает преждевременное старение.

Авипаттикар чурна / Avipattikar churna используется, чтобы удалить лишнюю Питту (Огонь) из желудка и тонкой кишки и, в свою очередь, способствует избавлению от запоров, гастрита, изжоги, расстройства желудка, язвы.

При гиперкислотности и брюшной боли является мягким слабительным и улучшает аппетит. Авипаттикар чурна / Avipattikar churna также уравновешивает Вата дошу, полезна при ПМС, геморрое, детоксифицирует и очищает весь организм, предотвращает преждевременное поседение и выпадение волос, улучшает состояние всей пищеварительной системы и двенадцатиперстной кишки, эффективна для дыхательных путей.

Некоторые аюрведические врачи рекомендуют чурну при заболеваниях печени и алкоголизме.";149;;https://indianayurveda.ru/image/cache/catalog/product/new/%20Чурнам%20Коттаккал-850x700.jpg;;;Здоровье;Бад;Kottakkal
